2020_w1,ma_a1,ma_a2,ma_a3,ma_a4,ma_a5,ma_a6,ma_b1,ma_b2,ma_b3,ma_b4,ma_b5,ma_b6,ma_c1,ma_c2,ma_c3,ma_c4,ma_c5,ma_c6,ma_c7,ma_c8,ma_d1,ma_d2,ma_d3,ma_d4,ma_e1,ma_f0,ma_f1,ma_g1,ma_g2,ma_g3,ma_h1,ma_h2,ma_h3,ma_i2,ma_k1,ma_k2,ma_k3,ma_k4,ma_k5,ma_k6,ma_l1,ma_l2,ma_l3,ma_l4,ma_l5,ma_m1,ma_m1.5,ma_m2,ma_m3,ma_m4,ma_m5,ma_m6,ma_m7,ma_m8,ma_o1,ma_o2,ma_p1,ma_p2,ma_p3,ma_p4,ma_p5,ma_p6,ma_p7,ma_p8,ma_q1,ma_r1,ma_r2,ma_r3,ma_r4,ma_r5,ma_r6,ma_r7,ma_r8,ma_s1,ma_s2,ma_s3,ma_s4,ma_s5,ma_s6,ma_s7,ma_t1,ma_t2,ma_t3,ma_t4,ma_t5,ma_u1,ma_v1,ma_v2,ma_v3,ma_v4,ma_v5,ma_w1,ma_w2,ma_w3,ma_w4,ma_y1,ma_z1,ma2004_v1,ma2013_s1,ma2018_r1,ma2019_a1,ma2019_b1,ma2019_b2,ma2019_c1,ma2019_c2,ma2019_d1,ma2019_d2,ma2019_g2,ma2019_k2,ma2019_k3,ma2019_l1,ma2019_l2,ma2019_m1,ma2019_m2,ma2019_m3,ma2019_o1,ma2019_p_c1,ma2019_p_j1,ma2019_t0,ma2019_t1,ma2019_w1,ma2019_x1,ma2019_z1,ma2019_z2,ma2019_z3,ma2020_b1,ma2020_c1,ma2020_f1,ma2020_j1,ma2020_m1,ma2020_m2,ma2020_n1,ma2020_r1,ma2020_v1,Nb,MA
316,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,1,0,0,0,0,1,0,4,1,0,0,0,0,2,0,0,0,0,4,2,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,316,2020_w1
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,6,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,21,ma_a1
0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,ma_a2
0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,ma_a3
0,0,0,0,70,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,70,ma_a4
0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,ma_a5
0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,ma_a6
0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,ma_b1
0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,33,ma_b2
0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,ma_b3
